tid	screen_name
7.16622E+17	007cigarjoe
7.04789E+17	0123missy
7.24336E+17	0boy
6.87371E+17	1011CN_News
7.17826E+17	1011_News
7.09724E+17	1015Mike
7.16391E+17	1030_KVOI
7.06994E+17	1041kqth
7.07036E+17	1041kqth
7.0792E+17	1041kqth
7.09376E+17	1063WORD
7.19721E+17	10News
7.19721E+17	10newsvanhyfte
6.86544E+17	10SDDem
6.94934E+17	10SDDem
7.12623E+17	10SDDem
7.22119E+17	10SDDem
7.2291E+17	10SDDem
7.26458E+17	10SDDem
6.9323E+17	10TV
7.13036E+17	10TV
7.17865E+17	10TV
7.17867E+17	10TV
7.18455E+17	10TV
7.21048E+17	10TV
6.99762E+17	11AliveNews
7.13471E+17	11phenomenon
7.10864E+17	1290KOIL
7.15939E+17	1290KOIL
7.19562E+17	1290KOIL
7.23734E+17	1290KOIL
7.28603E+17	1290KOIL
7.0989E+17	12News
7.12115E+17	12News
7.1239E+17	12News
7.20254E+17	12News
7.09766E+17	12pm
6.88742E+17	1313Innovation
6.98115E+17	1320WILS
7.22018E+17	1320WILS
7.10589E+17	13a94b823b0e451
6.95619E+17	13LauraGeller
6.95619E+17	13NewsNow
7.05433E+17	1400WBAT
7.15627E+17	1430WNAV
7.04397E+17	16WAPTNews
7.04501E+17	16WAPTNews
6.86694E+17	1700West
7.27713E+17	1700West
7.07615E+17	180099native
7.21057E+17	195Commission
7.16322E+17	1cheekybastard
7.20606E+17	1future
6.94304E+17	1JoelFox1
7.15616E+17	1KatieOrr
7.14661E+17	1LaRenda
7.18167E+17	1M26
7.18215E+17	1M26
6.92506E+17	1MelissaStewart
6.96754E+17	1NadineSmith
7.01764E+17	1sonny12
6.94619E+17	211CT
6.90678E+17	21WFMJNews
6.90678E+17	21WFMJNews
7.00072E+17	21WFMJNews
6.86647E+17	23rdNNC
6.86651E+17	23rdNNC
7.18542E+17	23rdNNC
7.20257E+17	23rdNNC
7.22235E+17	23rdNNC
7.26811E+17	249Toni
7.16769E+17	2510_Restaurant
6.87375E+17	262MEBrown
7.0473E+17	28andJefferson
6.92082E+17	2AvSagas
7.12028E+17	2AvSagas
7.26631E+17	2davidl
6.89969E+17	2Dmonds1Pistol
7.25021E+17	2presspapers
6.95822E+17	2whltrvlr
7.07673E+17	3
7.00469E+17	307wyo1
7.17129E+17	32BJSEIU
7.19895E+17	350action
6.99688E+17	360North
6.99765E+17	360North
7.00402E+17	360North
7.21563E+17	360North
7.16698E+17	3OH3
7.16743E+17	3OH3
7.05135E+17	3sticksCGCS
6.89142E+17	4
6.89155E+17	4
6.89168E+17	4
6.89173E+17	4
6.89179E+17	4
6.89181E+17	4
6.89191E+17	4
7.28931E+17	4
6.94295E+17	41ActionNews
7.23524E+17	420fest
6.92452E+17	4LastingChange
7.04804E+17	4LastingChange
7.18915E+17	4pm
7.22922E+17	501barandgrill
6.90262E+17	511PAStatewide
6.90262E+17	511PAStatewide
6.90534E+17	511PAStatewide
7.08396E+17	5280Magazine
6.96135E+17	580KIDO
6.98555E+17	580KIDO
7.04313E+17	580KIDO
6.93247E+17	5sahandful
7.19995E+17	6
6.88914E+17	60Minutes
6.91476E+17	60Minutes
7.14457E+17	620wtmj
7.17534E+17	620wtmj
7.17539E+17	620wtmj
7.04356E+17	6ftBlondChick
6.87435E+17	71Demon
6.87437E+17	71Demon
7.08324E+17	71Demon
7.08346E+17	71Demon
6.85657E+17	721tv
7.21486E+17	77WABCradio
6.86326E+17	7eleven
6.87325E+17	7Marshall
7.17125E+17	7Marshall
7.19668E+17	7Marshall
7.19669E+17	7Marshall
7.1968E+17	7Marshall
7.04106E+17	7News
7.1226E+17	7NEWSDenver
7.16421E+17	7NEWSDenver
7.02578E+17	7SkiesTech
6.97541E+17	8
7.17734E+17	8035
7.17734E+17	8035
7.17734E+17	8035
7.17735E+17	8035
7.17841E+17	8035
7.09797E+17	82mge
6.89458E+17	840WHAS
7.00664E+17	840WHAS
7.07218E+17	840WHAS
7.07221E+17	840WHAS
7.17422E+17	840WHAS
7.17436E+17	840WHAS
7.17454E+17	840WHAS
7.17723E+17	840WHAS
7.24637E+17	850WFTL
7.02369E+17	85thLegislature
6.97824E+17	889WEKU
6.83827E+17	8NewsNow
6.90258E+17	8NewsNow
6.93693E+17	8NewsNow
7.02373E+17	8NewsNow
7.08022E+17	8NewsNow
7.08099E+17	8NewsNow
7.081E+17	8NewsNow
7.14906E+17	8NewsNow
7.15199E+17	8NewsNow
7.17472E+17	8NewsNow
7.23651E+17	910Superstation
7.26503E+17	910Superstation
7.27136E+17	910Superstation
7.27156E+17	910Superstation
7.28225E+17	910Superstation
6.94603E+17	93101Dianne
6.87268E+17	93wibc
6.87271E+17	93wibc
6.90204E+17	93wibc
6.90207E+17	93wibc
6.90213E+17	93wibc
6.99596E+17	93wibc
6.996E+17	93wibc
6.99601E+17	93wibc
7.02525E+17	93wibc
7.02533E+17	93wibc
7.02534E+17	93wibc
7.07263E+17	93wibc
7.2604E+17	93wibc
7.29661E+17	93wibc
7.29663E+17	93wibc
6.89798E+17	953MNC
7.1986E+17	953MNC
7.07728E+17	960ThePatriot
7.08037E+17	960ThePatriot
